level,arm,budget,acc,n
1.0,control,0,0.5,30
1.0,control,256,0.4666666666666667,30
1.0,control,512,0.7333333333333333,30
1.0,control,1024,0.9,30
1.0,control,4096,0.8666666666666667,30
1.0,jspace,0,0.43333333333333335,30
1.0,jspace,256,0.5666666666666667,30
1.0,jspace,512,0.8333333333333334,30
1.0,jspace,1024,0.8666666666666667,30
1.0,jspace,4096,0.9,30
1.0,random,0,0.36666666666666664,30
1.0,random,256,0.5,30
1.0,random,512,0.7,30
1.0,random,1024,0.8,30
1.0,random,4096,0.9,30
2.0,control,0,0.3333333333333333,30
2.0,control,256,0.4666666666666667,30
2.0,control,512,0.6,30
2.0,control,1024,0.8666666666666667,30
2.0,control,4096,1.0,30
2.0,jspace,0,0.3,30
2.0,jspace,256,0.4666666666666667,30
2.0,jspace,512,0.7666666666666667,30
2.0,jspace,1024,0.9,30
2.0,jspace,4096,1.0,30
2.0,random,0,0.26666666666666666,30
2.0,random,256,0.43333333333333335,30
2.0,random,512,0.7,30
2.0,random,1024,0.8333333333333334,30
2.0,random,4096,0.9333333333333333,30
3.0,control,0,0.13333333333333333,30
3.0,control,256,0.26666666666666666,30
3.0,control,512,0.5,30
3.0,control,1024,0.7666666666666667,30
3.0,control,4096,0.8666666666666667,30
3.0,jspace,0,0.13333333333333333,30
3.0,jspace,256,0.43333333333333335,30
3.0,jspace,512,0.6,30
3.0,jspace,1024,0.8666666666666667,30
3.0,jspace,4096,0.8666666666666667,30
3.0,random,0,0.13333333333333333,30
3.0,random,256,0.2,30
3.0,random,512,0.4666666666666667,30
3.0,random,1024,0.8,30
3.0,random,4096,0.8666666666666667,30
4.0,control,0,0.03333333333333333,30
4.0,control,256,0.16666666666666666,30
4.0,control,512,0.3333333333333333,30
4.0,control,1024,0.7333333333333333,30
4.0,control,4096,0.9666666666666667,30
4.0,jspace,0,0.1,30
4.0,jspace,256,0.2,30
4.0,jspace,512,0.43333333333333335,30
4.0,jspace,1024,0.7,30
4.0,jspace,4096,0.8333333333333334,30
4.0,random,0,0.03333333333333333,30
4.0,random,256,0.16666666666666666,30
4.0,random,512,0.4,30
4.0,random,1024,0.7,30
4.0,random,4096,0.8333333333333334,30
5.0,control,0,0.13333333333333333,30
5.0,control,256,0.1,30
5.0,control,512,0.23333333333333334,30
5.0,control,1024,0.43333333333333335,30
5.0,control,4096,0.6666666666666666,30
5.0,jspace,0,0.13333333333333333,30
5.0,jspace,256,0.06666666666666667,30
5.0,jspace,512,0.23333333333333334,30
5.0,jspace,1024,0.5,30
5.0,jspace,4096,0.6333333333333333,30
5.0,random,0,0.1,30
5.0,random,256,0.06666666666666667,30
5.0,random,512,0.2,30
5.0,random,1024,0.36666666666666664,30
5.0,random,4096,0.6333333333333333,30
