dataset,arm,budget,n_problems,n_gen,acc,ci_lo,ci_hi,extraction_fail_rate,clip_rate,mean_think_tokens
aime24,control,0,30,90,0.0,0.0,0.0,0.0,0.0,0.0
aime24,jspace,0,30,90,0.03333333333333333,0.0,0.1,0.0,0.0,0.0
aime24,random,0,30,90,0.0,0.0,0.0,0.0,0.0,0.0
aime24,control,256,30,90,0.0,0.0,0.0,0.0,1.0,256.0
aime24,jspace,256,30,90,0.0,0.0,0.0,0.0,1.0,256.0
aime24,random,256,30,90,0.0,0.0,0.0,0.0,1.0,256.0
aime24,control,512,30,90,0.0,0.0,0.0,0.0,1.0,512.0
aime24,jspace,512,30,90,0.02222222222222222,0.0,0.05555555555555555,0.0,1.0,512.0
aime24,random,512,30,90,0.0,0.0,0.0,0.0,1.0,512.0
aime24,control,1024,30,90,0.03333333333333333,0.0,0.1,0.0,1.0,1024.0
aime24,jspace,1024,30,90,0.04444444444444444,0.0,0.12222222222222222,0.0,1.0,1024.0
aime24,random,1024,30,90,0.03333333333333333,0.0,0.1,0.0,1.0,1024.0
aime24,control,4096,30,90,0.3333333333333333,0.17777777777777776,0.5,0.0,0.9444444444444444,4058.788888888889
aime24,jspace,4096,30,90,0.36666666666666664,0.2222222222222222,0.5222222222222223,0.0,0.8888888888888888,3971.266666666667
aime24,random,4096,30,90,0.2222222222222222,0.08888888888888888,0.36666666666666664,0.0,0.9444444444444444,4079.8444444444444
arith,control,0,60,60,0.6666666666666666,0.55,0.7833333333333333,0.0,0.0,0.0
arith,jspace,0,60,60,0.5333333333333333,0.4,0.65,0.0,0.0,0.0
arith,random,0,60,60,0.5166666666666667,0.38333333333333336,0.6333333333333333,0.0,0.0,0.0
arith,control,256,60,60,0.7333333333333333,0.6166666666666667,0.8333333333333334,0.0,1.0,256.0
arith,jspace,256,60,60,0.7333333333333333,0.6166666666666667,0.85,0.0,1.0,256.0
arith,random,256,60,60,0.65,0.5333333333333333,0.7666666666666667,0.0,1.0,256.0
arith,control,512,60,60,0.9333333333333333,0.8666666666666667,0.9833333333333333,0.0,1.0,512.0
arith,jspace,512,60,60,1.0,1.0,1.0,0.0,0.95,510.46666666666664
arith,random,512,60,60,0.9833333333333333,0.95,1.0,0.0,0.9833333333333333,510.93333333333334
arith,control,1024,60,60,0.9666666666666667,0.9166666666666666,1.0,0.0,0.4166666666666667,876.6333333333333
arith,jspace,1024,60,60,1.0,1.0,1.0,0.0,0.2833333333333333,790.6833333333333
arith,random,1024,60,60,1.0,1.0,1.0,0.0,0.5,885.0166666666667
arith,control,4096,60,60,0.9833333333333333,0.95,1.0,0.0,0.0,1049.0
arith,jspace,4096,60,60,1.0,1.0,1.0,0.0,0.0,853.4666666666667
arith,random,4096,60,60,1.0,1.0,1.0,0.0,0.0,1149.0666666666666
gsm8k,control,0,150,150,0.15333333333333332,0.1,0.21333333333333335,0.0,0.0,0.0
gsm8k,jspace,0,150,150,0.14,0.08666666666666667,0.2,0.0,0.0,0.0
gsm8k,random,0,150,150,0.1,0.05333333333333334,0.15333333333333332,0.0,0.0,0.0
gsm8k,control,256,150,150,0.38,0.3,0.46,0.0,0.9933333333333333,255.98
gsm8k,jspace,256,150,150,0.44666666666666666,0.36666666666666664,0.5266666666666666,0.0,1.0,256.0
gsm8k,random,256,150,150,0.35333333333333333,0.28,0.43333333333333335,0.0,1.0,256.0
gsm8k,control,512,150,150,0.7533333333333333,0.68,0.82,0.0,0.9933333333333333,510.4266666666667
gsm8k,jspace,512,150,150,0.92,0.8733333333333333,0.96,0.0,0.9533333333333334,507.35333333333335
gsm8k,random,512,150,150,0.7666666666666667,0.6933333333333334,0.8333333333333334,0.0,0.98,509.67333333333335
gsm8k,control,1024,150,150,0.92,0.8733333333333333,0.96,0.0,0.6933333333333334,939.08
gsm8k,jspace,1024,150,150,0.9466666666666667,0.9066666666666666,0.98,0.0,0.4066666666666667,879.9466666666667
gsm8k,random,1024,150,150,0.92,0.8733333333333333,0.96,0.0,0.72,961.3333333333334
gsm8k,control,4096,150,150,0.9666666666666667,0.9333333333333333,0.9933333333333333,0.0,0.09333333333333334,1703.2933333333333
gsm8k,jspace,4096,150,150,0.96,0.9266666666666666,0.9866666666666667,0.0,0.04,1201.7066666666667
gsm8k,random,4096,150,150,0.9733333333333334,0.94,0.9933333333333333,0.0,0.05333333333333334,1642.12
math500,control,0,150,150,0.22666666666666666,0.16,0.29333333333333333,0.0,0.0,0.0
math500,jspace,0,150,150,0.22,0.15333333333333332,0.2866666666666667,0.0,0.0,0.0
math500,random,0,150,150,0.18,0.12,0.24,0.0,0.0,0.0
math500,control,256,150,150,0.29333333333333333,0.22,0.36666666666666664,0.0,1.0,256.0
math500,jspace,256,150,150,0.3466666666666667,0.26666666666666666,0.4266666666666667,0.0,1.0,256.0
math500,random,256,150,150,0.2733333333333333,0.2,0.3466666666666667,0.0,1.0,256.0
